id,type,answerable,n_final,top_dense,top_rerank,gold_in_context
q01,factoid,True,5,0.7084,0.9811,True
q02,factoid,True,5,0.6326,0.9963,True
q03,factoid,True,5,0.6434,0.9957,True
q04,factoid,True,5,0.7189,0.9954,True
q05,factoid,True,5,0.7314,0.997,True
q06,factoid,True,5,0.6053,0.9648,True
q07,factoid,True,5,0.7308,0.9983,True
q08,factoid,True,5,0.7716,0.997,True
q09,specific,True,5,0.6447,0.9982,True
q10,specific,True,5,0.7193,0.9985,True
q11,specific,True,5,0.6695,0.989,True
q12,specific,True,5,0.5885,0.0073,False
q13,specific,True,5,0.633,0.9893,True
q14,specific,True,5,0.6056,0.8952,True
q15,specific,True,5,0.6286,0.9785,False
q16,specific,True,5,0.6936,0.9819,True
q17,specific,True,5,0.6657,0.9949,True
q18,specific,True,5,0.6782,0.8165,False
q19,specific,True,5,0.664,0.9769,True
q20,multi_doc,True,5,0.6855,0.9908,True
q21,multi_doc,True,5,0.5487,0.2828,True
q22,multi_doc,True,5,0.6002,0.9919,True
q23,multi_doc,True,5,0.7542,0.9903,True
q24,multi_doc,True,5,0.6035,0.781,True
q25,multi_doc,True,5,0.6251,0.5322,False
q26,multi_doc,True,5,0.5945,0.9914,True
q27,multi_doc,True,5,0.7173,0.9968,True
q28,reasoning,True,5,0.6968,0.8154,True
q29,reasoning,True,5,0.6995,0.9968,True
q30,reasoning,True,5,0.5038,0.0103,True
q31,reasoning,True,5,0.5629,0.0416,True
q32,reasoning,True,5,0.6092,0.6021,True
q33,reasoning,True,5,0.7156,0.9985,True
q34,reasoning,True,5,0.7165,0.8975,True
q35,unanswerable,False,5,0.4499,0.0769,
q36,unanswerable,False,5,0.5886,0.0137,
q37,unanswerable,False,5,0.5093,0.0006,
q38,unanswerable,False,5,0.5081,0.002,
q39,unanswerable,False,5,0.5891,0.0211,
q40,unanswerable,False,5,0.4969,0.0075,
q41,unanswerable,False,5,0.5114,0.0049,
