tag,id,type,answerable,refused,refusal_correct,gold_in_context,n_context,n_sources,cited,latency,prompt_tokens,completion_tokens,correctness,faithfulness,relevancy,judge_comment,question,answer,expected
gpt-oss-120b/strict,q01,factoid,True,False,True,True,5,1,True,0.9,994,30,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько стоит Blink Dagger?,Blink Dagger стоит 2250 золота [1].,Blink Dagger стоит 2250 золота.
gpt-oss-120b/strict,q02,factoid,True,False,True,True,5,1,True,0.23,1020,38,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какой основной атрибут у героя Axe?,Основной атрибут у героя Axe — Сила[1].,Основной атрибут Axe — сила.
gpt-oss-120b/strict,q03,factoid,True,False,True,True,5,1,True,0.38,1009,37,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какой тип атаки у Crystal Maiden?,Тип атаки у Crystal Maiden — дальний бой[1].,Crystal Maiden атакует в дальнем бою (ranged).
gpt-oss-120b/strict,q04,factoid,True,False,True,True,5,1,True,0.29,867,85,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько стоит Aghanim's Scepter и какие бонусы он даёт?,"Aghanim's Scepter стоит 4200 золота. Он даёт пассивное улучшение Ability Upgrade (улучшает ульту и некоторые способности), плюс бонус +10 ко всем атрибутам, +175 к здоровью и +175 к мане[1].","Aghanim's Scepter стоит 4200 золота и даёт +10 ко всем атрибутам, +175 к здоровью и +175 к мане, а также улучшает ульт и некоторые способности."
gpt-oss-120b/strict,q05,factoid,True,False,True,True,5,1,True,0.57,983,62,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какой урон наносит Culling Blade у Axe?,Culling Blade наносит урон 275 / 375 / 475 в зависимости от уровня способности [1],Culling Blade наносит 275 / 375 / 475 чистого урона.
gpt-oss-120b/strict,q06,factoid,True,False,True,True,5,2,True,0.41,779,121,5,5,5,"Ответ полностью верен, содержит все роли из эталона, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какие роли у Crystal Maiden?,"У Crystal Maiden указаны три роли: Саппорт, Нюкер и Дизейблер [1]. В англоязычном описании те же роли перечислены как Support, Disabler и Nuker [2].","Crystal Maiden — саппорт, нюкер и дизейблер."
gpt-oss-120b/strict,q07,factoid,True,False,True,True,5,3,True,0.74,1107,175,5,5,5,"Ответ полностью верен, подробно раскрывает механику способности Arcane Aura, полностью подтверждается контекстом и точно отвечает на вопрос.",Что делает способность Arcane Aura у Crystal Maiden?,"Способность **Arcance Aura** даёт дополнительное восстановление маны всем дружественным единицам на карте: базовый бонус 0,4 / 0,6 / 0,8 / 1 мана в секунду, а союзники, находящиеся в радиусе 1200 от Crystal Maiden, получают в 3 раза больше (1,2 / 1,8 / 2,4 / 3 мана в секунду) [1][2][3]. Кроме того, сама Crystal Maiden восстанавливает ману в 7 раз большем размере, чем базовый бонус [2][4]. [5]","Arcane Aura увеличивает восстановление маны всем союзникам на карте; союзники в радиусе 1200 получают бонус в 3 раза больше, а сама Crystal Maiden — ещё больше."
gpt-oss-120b/strict,q08,factoid,True,False,True,True,5,1,True,0.6,1024,91,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько длятся день и ночь в Dota 2?,"Каждый «день» в Dota 2 длится 10 минут и делится поровну между дневным и ночным временем, то есть дневная и ночная фазы по 5 минут каждая[1].",Полный цикл длится 10 минут: 5 минут день и 5 минут ночь; первая ночь начинается в 5:00.
gpt-oss-120b/strict,q09,specific,True,False,True,True,5,1,True,0.53,1025,77,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько секунд после получения урона от вражеского героя нельзя использовать Blink Dagger?,Нельзя использовать Blink Dagger в течение 3 секунд после получения урона от вражеского героя[1].,"3 секунды: Blink Dagger нельзя использовать, если в последние 3 секунды владелец получал урон от вражеских героев или Рошана."
gpt-oss-120b/strict,q10,specific,True,False,True,True,5,1,True,0.46,1026,73,5,5,5,"Ответ полностью верный, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какая перезарядка у Mana Void у Anti-Mage?,"Перезарядка Mana Void у Anti‑Mage составляет 100 сек. на первом уровне, 85 сек. на втором и 70 сек. на третьем [1].",Перезарядка Mana Void — 100 / 85 / 70 секунд.
gpt-oss-120b/strict,q11,specific,True,False,True,True,5,1,True,0.53,1023,107,4,4,5,"Ответ верен и полностью соответствует контексту и эталону, хотя в самой Dota 2 длительность BKB уменьшается с каждым использованием, а не с ""уровнями предмета"" (у предметов в Dota нет уровней), но суть передана верно на основе контекста [1].",Сколько длится эффект Black King Bar и какая у него перезарядка?,"Эффект Black King Bar длится 9 секунд на первом уровне, 8 секунд на втором и 7 секунд на третьем [1], а его перезарядка составляет 95 секунд [1].","Avatar действует 9 / 8 / 7 секунд (длительность уменьшается с каждым использованием), перезарядка 95 секунд."
gpt-oss-120b/strict,q12,specific,True,True,False,False,5,0,False,0.38,1013,36,1,5,1,"В предоставленном контексте действительно нет информации о том, сколько брони дает одно очко ловкости. Система корректно определила нехватку информации (faithfulness 5), но правильный ответ не был дан из-за ограничений контекста.",Сколько брони даёт одно очко ловкости?,В базе знаний недостаточно информации для ответа на этот вопрос.,"Каждое очко ловкости увеличивает броню героя на 0,167 (1/6)."
