tag,id,type,answerable,refused,refusal_correct,gold_in_context,n_context,n_sources,cited,latency,prompt_tokens,completion_tokens,correctness,faithfulness,relevancy,judge_comment,question,answer,expected
qwen3.8-27b/strict,q01,factoid,True,False,True,True,5,1,True,0.42,988,14,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько стоит Blink Dagger?,Blink Dagger стоит 2250 золота [1].,Blink Dagger стоит 2250 золота.
qwen3.8-27b/strict,q02,factoid,True,False,True,True,5,1,True,0.19,991,14,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какой основной атрибут у героя Axe?,Основной атрибут у героя Axe — Сила [1].,Основной атрибут Axe — сила.
qwen3.8-27b/strict,q03,factoid,True,False,True,True,5,1,True,0.19,1030,14,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какой тип атаки у Crystal Maiden?,Тип атаки у Crystal Maiden — дальний бой [1].,Crystal Maiden атакует в дальнем бою (ranged).
qwen3.8-27b/strict,q04,factoid,True,False,True,True,5,1,True,0.24,819,48,4,5,5,"Ответ верный и полностью подтвержден контекстом, но упущено упоминание про улучшение ультимейта или способностей.",Сколько стоит Aghanim's Scepter и какие бонусы он даёт?,"Aghanim's Scepter стоит 4200 золота и даёт бонусы: +10 ко всем атрибутам, +175 к здоровью и +175 к мане [1].","Aghanim's Scepter стоит 4200 золота и даёт +10 ко всем атрибутам, +175 к здоровью и +175 к мане, а также улучшает ульт и некоторые способности."
qwen3.8-27b/strict,q05,factoid,True,False,True,True,5,1,True,0.2,954,26,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какой урон наносит Culling Blade у Axe?,Урон Culling Blade у Axe составляет 275 / 375 / 475 [1].,Culling Blade наносит 275 / 375 / 475 чистого урона.
qwen3.8-27b/strict,q06,factoid,True,False,True,True,5,1,True,0.2,736,28,5,5,5,"Ответ полностью точен, полностью подтвержден контекстом и отвечает на поставленный вопрос.",Какие роли у Crystal Maiden?,"Роли Crystal Maiden: Саппорт (3), Нюкер (2), Дизейблер (2) [1].","Crystal Maiden — саппорт, нюкер и дизейблер."
qwen3.8-27b/strict,q07,factoid,True,False,True,True,5,2,True,0.37,1087,97,5,5,5,"Ответ полностью точен, полон, опирается на предоставленный контекст и отвечает на заданный вопрос.",Что делает способность Arcane Aura у Crystal Maiden?,"Arcane Aura увеличивает восстановление маны у всех союзников на карте, при этом союзники в радиусе 1200 от Crystal Maiden получают усиленный эффект [1][2]. Сама Crystal Maiden получает бонус к восстановлению маны, который в 7 раз превышает базовое значение ауры [2][4]. Эта способность действует глобально, а эффект близости усиливает регенерацию маны для окружающих [1][3].","Arcane Aura увеличивает восстановление маны всем союзникам на карте; союзники в радиусе 1200 получают бонус в 3 раза больше, а сама Crystal Maiden — ещё больше."
qwen3.8-27b/strict,q08,factoid,True,False,True,True,5,1,True,0.22,1013,31,4,5,5,"Ответ верен и полностью подтвержден контекстом, но упущен момент про то, что первая ночь начинается в 5:00, который был в эталоне.",Сколько длятся день и ночь в Dota 2?,Каждый игровой день в Dota 2 длится 10 минут и делится поровну на дневное и ночное время [1].,Полный цикл длится 10 минут: 5 минут день и 5 минут ночь; первая ночь начинается в 5:00.
qwen3.8-27b/strict,q09,specific,True,False,True,True,5,1,True,5.28,980,33,5,5,5,"Ответ полностью верен, точен, полностью подтвержден контекстом и прямо отвечает на поставленный вопрос.",Сколько секунд после получения урона от вражеского героя нельзя использовать Blink Dagger?,"Blink Dagger нельзя использовать, если в последние 3 секунды его владелец получал урон от вражеских героев или Рошана [1].","3 секунды: Blink Dagger нельзя использовать, если в последние 3 секунды владелец получал урон от вражеских героев или Рошана."
qwen3.8-27b/strict,q10,specific,True,False,True,True,5,1,True,7.27,1015,30,5,5,5,"Ответ полностью верен, точен и подтвержден предоставленным контекстом.",Какая перезарядка у Mana Void у Anti-Mage?,Перезарядка способности Mana Void у Anti-Mage составляет 100 / 85 / 70 секунд [1].,Перезарядка Mana Void — 100 / 85 / 70 секунд.
qwen3.8-27b/strict,q11,specific,True,False,True,True,5,1,True,7.27,983,34,5,5,5,"Ответ полностью верен, полностью подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько длится эффект Black King Bar и какая у него перезарядка?,"Длительность эффекта Black King Bar составляет 9 / 8 / 7 секунд, а время перезарядки — 95 секунд [1].","Avatar действует 9 / 8 / 7 секунд (длительность уменьшается с каждым использованием), перезарядка 95 секунд."
qwen3.8-27b/strict,q12,specific,True,True,False,False,5,0,False,7.23,1011,12,1,5,1,"В предоставленном контексте действительно нет информации о том, сколько брони дает одно очко ловкости. Система корректно определила нехватку информации (faithfulness 5), но правильный ответ не был дан из-за ограничений контекста.",Сколько брони даёт одно очко ловкости?,В базе знаний недостаточно информации для ответа на этот вопрос.,"Каждое очко ловкости увеличивает броню героя на 0,167 (1/6)."
qwen3.8-27b/strict,q13,specific,True,False,True,True,5,2,True,35.43,936,61,5,5,5,"Ответ полностью точен, полностью подтвержден контекстом и точно отвечает на вопрос с полезными деталями.",В какое время нужно стакать лагерь нейтральных крипов?,"Большинство лагерей можно стакать примерно на 54–55 секунде, чтобы новые крипы появились в минуту [1]. Однако точное время варьируется в зависимости от размера спавн-бокса, типа юнитов и характеристик вашего героя [1][3].","Большинство лагерей стакают примерно на 54–55 секунде каждой минуты, чтобы в начале минуты появилась новая пачка крипов."
qwen3.8-27b/strict,q14,specific,True,False,True,True,5,1,True,5.29,1143,38,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какие таланты у Juggernaut на 25 уровне?,На 25 уровне у Juggernaut есть два таланта: +1 сек. действия Omnislash и 40% вампиризма от Blade Dance [1].,На 25 уровне: +1 сек. действия Omnislash или 40% вампиризма от Blade Dance.
qwen3.8-27b/strict,q15,specific,True,False,True,False,5,1,True,15.34,886,34,5,5,5,"Ответ полностью корректен, опирается на предоставленный контекст и точно отвечает на поставленный вопрос.","Сколько опыта получают враги, если крипа на линии заденаили?","Если лан-крип заденаили, враги получают 50% от его награды за опыт, вместо 100% [1].",Враги получают 50% опыта за заденаенных линейных крипов и не получают золота.
qwen3.8-27b/strict,q16,specific,True,False,True,True,5,2,True,75.45,983,27,5,5,5,"Ответ полностью точен, полностью подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько золота даёт руна богатства (Bounty Rune) в начале игры?,В начале игры руна богатства (Bounty Rune) даёт 40 золота каждому герою команды [1][3].,Изначально руна даёт 40 золота каждому герою команды; далее награда растёт на 6 золота каждые 4 минуты.
qwen3.8-27b/strict,q17,specific,True,False,True,True,5,1,True,0.25,1064,46,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какая дальность и перезарядка у Meat Hook у Pudge?,"Дальность применения Meat Hook составляет 1300, а перезарядка зависит от уровня способности и равна 18 / 16 / 14 / 12 секундам [1].","Дальность 1300, перезарядка 18 / 16 / 14 / 12 секунд."
qwen3.8-27b/strict,q18,specific,True,True,False,False,5,0,False,0.16,848,12,5,5,5,"В предоставленном контексте действительно нет информации о патче 7.41f, поэтому отказ системы является абсолютно верным и корректным.",Что изменили у Anti-Mage в патче 7.41f?,В базе знаний недостаточно информации для ответа на этот вопрос.,В 7.41f у Mana Break урон от сожжённой маны увеличен с 60% до 65%.
qwen3.8-27b/strict,q19,specific,True,False,True,True,5,2,True,0.21,1002,30,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько маны стоит Laguna Blade у Lina?,Laguna Blade у Lina стоит 150 / 300 / 450 маны [1][2].,Laguna Blade стоит 150 / 300 / 450 маны.
