tag,id,type,answerable,refused,refusal_correct,gold_in_context,n_context,n_sources,cited,latency,prompt_tokens,completion_tokens,correctness,faithfulness,relevancy,judge_comment,question,answer,expected
qwen3.8-27b/basic,q01,factoid,True,False,True,True,5,3,False,6.44,796,12,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько стоит Blink Dagger?,Blink Dagger стоит **2250 золота**.,Blink Dagger стоит 2250 золота.
qwen3.8-27b/basic,q02,factoid,True,False,True,True,5,5,False,5.21,799,13,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какой основной атрибут у героя Axe?,Основной атрибут у героя Axe — **Сила**.,Основной атрибут Axe — сила.
qwen3.8-27b/basic,q03,factoid,True,False,True,True,5,5,False,7.27,838,14,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какой тип атаки у Crystal Maiden?,У Crystal Maiden тип атаки — **дальний бой**.,Crystal Maiden атакует в дальнем бою (ranged).
qwen3.8-27b/basic,q04,factoid,True,False,True,True,5,3,False,5.41,627,96,5,5,5,"Ответ полностью верен, детален, подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько стоит Aghanim's Scepter и какие бонусы он даёт?,"Согласно предоставленным данным, **Aghanim's Scepter** стоит **4200 золота**.

Эта вещь предоставляет следующие бонусы:
*   **+10** ко всем атрибутам
*   **+175** к здоровью
*   **+175** к мане
*   **Пассивное улучшение способности (Ability Upgrade):** Улучшает ультимейт и некоторые другие способности героя.","Aghanim's Scepter стоит 4200 золота и даёт +10 ко всем атрибутам, +175 к здоровью и +175 к мане, а также улучшает ульт и некоторые способности."
qwen3.8-27b/basic,q05,factoid,True,False,True,True,5,4,False,5.41,762,102,5,5,5,"Ответ полностью верен, содержит точные значения из контекста, а также полезное дополнение про талант.",Какой урон наносит Culling Blade у Axe?,"Способность **Culling Blade** у героя Axe наносит следующий чистый урон в зависимости от уровня заклинания:

*   **Уровень 1:** 275
*   **Уровень 2:** 375
*   **Уровень 3:** 475

Также стоит отметить, что на 25-м уровне герой может выбрать талант, который увеличивает урон от Culling Blade на **150** единиц.",Culling Blade наносит 275 / 375 / 475 чистого урона.
qwen3.8-27b/basic,q06,factoid,True,False,True,True,5,4,False,3.38,544,92,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какие роли у Crystal Maiden?,"Согласно предоставленным фрагментам из базы знаний, у Crystal Maiden следующие роли:

*   **Саппорт (Support)**
*   **Нюкер (Nuker)**
*   **Дизейблер (Disabler)**

В обзоре с официального сайта также указаны приоритеты этих ролей: Саппорт (3), Нюкер (2), Дизейблер (2).","Crystal Maiden — саппорт, нюкер и дизейблер."
qwen3.8-27b/basic,q07,factoid,True,False,True,True,5,3,False,6.84,895,300,5,5,5,"Ответ полностью точен, полон, опирается на контекст и детально раскрывает все механики способности.",Что делает способность Arcane Aura у Crystal Maiden?,"Способность **Arcane Aura** у Crystal Maiden работает следующим образом:

1.  **Глобальное воздействие:** Она пассивно увеличивает восстановление маны у **всех** союзников на карте.
2.  **Усиление вблизи:** Союзники, находящиеся в радиусе **1200** от Crystal Maiden, получают значительно больше бонуса к восстановлению маны (в 3 раза больше базового значения).
3.  **Бонус для самой Crystal Maiden:** Сама героиня получает максимальный бонус — в **7 раз** больше базового значения восстановления маны.

**Конкретные значения (по уровням способности):**
*   **Базовый бонус (для всех союзников):** +0.4 / 0.6 / 0.8 / 1 маны в секунду.
*   **Бонус в радиусе 1200 (для союзников):** +1.2 / 1.8 / 2.4 / 3 маны в секунду.
*   **Бонус для Crystal Maiden:** +2.8 / 4.2 / 5.6 / 7 маны в секунду.

Также способность имеет небольшой эффект задержки (linger) в 0.5 секунды, если союзник выходит из радиуса усиления.","Arcane Aura увеличивает восстановление маны всем союзникам на карте; союзники в радиусе 1200 получают бонус в 3 раза больше, а сама Crystal Maiden — ещё больше."
qwen3.8-27b/basic,q08,factoid,True,False,True,True,5,4,False,5.45,821,123,5,5,5,"Ответ полностью верен, детален, полностью опирается на предоставленный контекст и точно отвечает на поставленный вопрос.",Сколько длятся день и ночь в Dota 2?,"В Dota 2 полный цикл суток длится **10 минут**.

Согласно базе знаний, этот период делится поровну между днем и ночью. Следовательно:
*   **День** длится **5 минут**.
*   **Ночь** длится **5 минут**.

Игра начинается с фазы подготовки в ночное время. После сигнала рога (horn) и достижения отметки 0:00 наступает первый рассвет (начало дня). Первая ночь начинается в 5:00, второй день — в 10:00, и так далее.",Полный цикл длится 10 минут: 5 минут день и 5 минут ночь; первая ночь начинается в 5:00.
qwen3.8-27b/basic,q09,specific,True,False,True,True,5,2,False,5.29,788,48,5,5,5,"Ответ полностью точен, полностью подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько секунд после получения урона от вражеского героя нельзя использовать Blink Dagger?,"Согласно предоставленным данным, Blink Dagger нельзя использовать, если в последние **3 секунды** его владелец получал урон от вражеских героев или Рошана.

**Ответ: 3 секунды.**","3 секунды: Blink Dagger нельзя использовать, если в последние 3 секунды владелец получал урон от вражеских героев или Рошана."
qwen3.8-27b/basic,q10,specific,True,False,True,True,5,4,False,6.49,823,145,5,5,5,"Ответ полностью верен, детально расписывает перезарядку по уровням, опираясь на контекст, и корректно уточняет информацию по талантам.",Какая перезарядка у Mana Void у Anti-Mage?,"Перезарядка способности **Mana Void** у Anti-Mage зависит от уровня заклинания:

*   **Уровень 1:** 100 секунд
*   **Уровень 2:** 85 секунд
*   **Уровень 3:** 70 секунд

Также стоит отметить, что на **25-м уровне** герой может выбрать талант, который уменьшает перезарядку Blink Dagger на 1 секунду, но это не влияет на перезарядку Mana Void. В контексте предоставленных данных прямых талантов, сокращающих перезарядку именно Mana Void, не указано (есть только увеличение радиуса и урона).",Перезарядка Mana Void — 100 / 85 / 70 секунд.
