tag,id,type,answerable,refused,refusal_correct,gold_in_context,n_context,n_sources,cited,latency,prompt_tokens,completion_tokens,correctness,faithfulness,relevancy,judge_comment,question,answer,expected
gpt-oss-120b/basic,q01,factoid,True,False,True,True,5,3,False,3.69,799,30,5,5,5,"Ответ полностью точный, полностью подтвержден контекстом и точно отвечает на вопрос.",Сколько стоит Blink Dagger?,Стоимость Blink Dagger составляет **2250 золота**.,Blink Dagger стоит 2250 золота.
gpt-oss-120b/basic,q02,factoid,True,False,True,True,5,5,False,5.47,825,29,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какой основной атрибут у героя Axe?,Основной атрибут у героя Axe — **Сила**.,Основной атрибут Axe — сила.
gpt-oss-120b/basic,q03,factoid,True,False,True,True,5,5,False,6.01,814,33,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какой тип атаки у Crystal Maiden?,У Crystal Maiden тип атаки — **дальний бой**.,Crystal Maiden атакует в дальнем бою (ranged).
gpt-oss-120b/basic,q04,factoid,True,False,True,True,5,3,False,3.62,672,135,5,5,5,"Ответ полностью точен, содержит правильную стоимость, все статы и пассивный бонус, которые подтверждены контекстом и эталоном.",Сколько стоит Aghanim's Scepter и какие бонусы он даёт?,"**Стоимость:** 4200 золота.

**Бонусы Aghanim's Scepter:**
- **Пассивный эффект:** «Ability Upgrade» — улучшает ультимейт и некоторые другие способности героя.
- **Статистические бонусы:**
  - +10 к каждому из атрибутов (силе, ловкости и интеллекту);
  - +175 к здоровью;
  - +175 к мане.","Aghanim's Scepter стоит 4200 золота и даёт +10 ко всем атрибутам, +175 к здоровью и +175 к мане, а также улучшает ульт и некоторые способности."
gpt-oss-120b/basic,q05,factoid,True,False,True,True,5,4,False,5.56,788,100,5,5,5,"Ответ полностью точен, полностью подтвержден контекстом и точно отвечает на поставленный вопрос.",Какой урон наносит Culling Blade у Axe?,"Culling Blade наносит чистый урон, который увеличивается с уровнем способности:

- **Уровень 1** – 275 урона  
- **Уровень 2** – 375 урона  
- **Уровень 3** – 475 урона  

Эти цифры указаны в официальном описании способности Axe.",Culling Blade наносит 275 / 375 / 475 чистого урона.
gpt-oss-120b/basic,q06,factoid,True,False,True,True,5,4,False,4.61,584,86,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какие роли у Crystal Maiden?,"У Crystal Maiden три основные роли:

- **Саппорт** (Support)  
- **Нюкер** (Nuker)  
- **Дизейблер** (Disabler)  

Эти роли указаны в официальных описаниях героя.","Crystal Maiden — саппорт, нюкер и дизейблер."
gpt-oss-120b/basic,q07,factoid,True,False,True,True,5,3,False,7.19,912,407,5,5,5,"Ответ полностью верен, подробно раскрывает механику способности Arcane Aura на основе контекста и соответствует эталону.",Что делает способность Arcane Aura у Crystal Maiden?,"**Arcane Aura** – пассивная способность **Crystal Maiden**, которая постоянно повышает регенерацию маны у всех союзников.

| Что делает aura | Как работает |
|-----------------|--------------|
| **Глобальная аура** | Даёт всем союзникам на карте дополнительное восстановление маны. Базовый бонус к регенерации мани составляет **0,4 / 0,6 / 0,8 / 1 мана сек** (в зависимости от уровня способности). |
| **Близкая (проксимальная) аура** | Союзники, находящиеся в радиусе **1200 ед.** от Crystal Maiden, получают **в 3 раза больше** этого бонуса (т.е. 1,2 / 1,8 / 2,4 / 3 мана сек). |
| **Самая Crystal Maiden** | Она получает **в 7 раз больше** базового бонуса, то есть **2,8 / 4,2 / 5,6 / 7 мана сек**. |
| **Продолжительность** | Появившийся бафф остаётся на цели **0,5 сек** после выхода из радиуса ауры. |
| **Исключения** | Не действует на невидимых, неуязвимых и иллюзии (иллюзии получают бафф, но не дают его). |

Таким образом, **Arcane Aura** обеспечивает постоянный приток маны всем союзникам, а особенно усиливает её у героев, находящихся рядом с Crystal Maiden, и у самой её владельца. Это делает её одной из самых сильных «манареген‑аур» в игре.","Arcane Aura увеличивает восстановление маны всем союзникам на карте; союзники в радиусе 1200 получают бонус в 3 раза больше, а сама Crystal Maiden — ещё больше."
gpt-oss-120b/basic,q08,factoid,True,False,True,True,5,4,False,8.54,829,120,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько длятся день и ночь в Dota 2?,"В Dota 2 один «день» длится 10 минут, при этом время делится поровну между светлым и тёмным периодами.  
То есть:

* **День** — 5 минут.  
* **Ночь** — 5 минут.  

Цикл день‑ночь продолжается постоянно в течение всей партии.",Полный цикл длится 10 минут: 5 минут день и 5 минут ночь; первая ночь начинается в 5:00.
gpt-oss-120b/basic,q09,specific,True,False,True,True,5,2,False,5.37,830,58,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Сколько секунд после получения урона от вражеского героя нельзя использовать Blink Dagger?,"Согласно официальному описанию, после получения урона от вражеского героя (или Рошана) предмет **Blink Dagger** нельзя использовать в течение **3 секунд**.","3 секунды: Blink Dagger нельзя использовать, если в последние 3 секунды владелец получал урон от вражеских героев или Рошана."
gpt-oss-120b/basic,q10,specific,True,False,True,True,5,4,False,4.61,831,125,5,5,5,"Ответ полностью верен, подтвержден контекстом и точно отвечает на поставленный вопрос.",Какая перезарядка у Mana Void у Anti-Mage?,"Перезарядка способности **Mana Void** у Anti‑Mage составляет:

- **Уровень 1** (уровень умения 1) — **100 сек.**  
- **Уровень 2** (уровень умения 2) — **85 сек.**  
- **Уровень 3** (уровень умения 3) — **70 сек.**  

Эти значения указаны в официальных данных способности.",Перезарядка Mana Void — 100 / 85 / 70 секунд.
